# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    3.0251256281    -2.6774246298    -1.7573700360    -2.4347844412    -2.6774616810    -2.6774987321    -1.4103719002    -1.8656566063    -2.5174966141    -1.3555073248    -1.8965823962
    3.0452261307    -2.6240608572    -1.7072518207    -2.3807962381    -2.6240608572    -2.6240608572    -1.3760416248    -1.8177011699    -2.4630986962    -1.3175848693    -1.8504699944
    3.0653266332    -2.5705881373    -1.6579729828    -2.3274910719    -2.5705881373    -2.5705881373    -1.3426937179    -1.7703593080    -2.4088349221    -1.2803767017    -1.8048498943
    3.0854271357    -2.5170931774    -1.6095636077    -2.2744496194    -2.5170931774    -2.5170931774    -1.3097684704    -1.7236592362    -2.3547778170    -1.2438398239    -1.7597551756
    3.1055276382    -2.4636562035    -1.5619747364    -2.2217344584    -2.4636562035    -2.4636562035    -1.2772780621    -1.6776205335    -2.3009940308    -1.2079583145    -1.7152144461
    3.1256281407    -2.4103513262    -1.5151754384    -2.1694028069    -2.4103513262    -2.4103513262    -1.2452047758    -1.6322879032    -2.2475446884    -1.1727448772    -1.6712480657
    3.1457286432    -2.3572468900    -1.4689026892    -2.1175068660    -2.3572468900    -2.3572468900    -1.2135452778    -1.5876686890    -2.1944857371    -1.1382053136    -1.6278996333
    3.1658291457    -2.3044058065    -1.4230267762    -2.0660941868    -2.3044058065    -2.3044058065    -1.1823202851    -1.5437237775    -2.1418682427    -1.1043444325    -1.5851824135
    3.1859296482    -2.2518858766    -1.3778988150    -2.0152078020    -2.2518858766    -2.2518858766    -1.1515451245    -1.5004241680    -2.0897386433    -1.0711549085    -1.5430599312
    3.2060301508    -2.1997401051    -1.3338032185    -1.9648864994    -2.1997401051    -2.1997401051    -1.1212348889    -1.4575306854    -2.0381390396    -1.0386370747    -1.5015217120
    3.2261306533    -2.1480169429    -1.2907055196    -1.9151653130    -2.1480169429    -2.1480169429    -1.0913974582    -1.4149297523    -1.9871075432    -1.0067950216    -1.4603690471
    3.2462311558    -2.0967605427    -1.2485518827    -1.8660758258    -2.0967605427    -2.0967605427    -1.0620370532    -1.3729221470    -1.9366786597    -0.9756231430    -1.4194441140
    3.2663316583    -2.0460110375    -1.2073365227    -1.8176456414    -2.0460110375    -2.0460110375    -1.0331634161    -1.3317808576    -1.8868829964    -0.9451076733    -1.3789720218
    3.2864321608    -1.9958049157    -1.1670612606    -1.7698996935    -1.9958049157    -1.9958049157    -1.0047875098    -1.2914958215    -1.8377478735    -0.9152491229    -1.3392446160
    3.3065326633    -1.9461751479    -1.1277253306    -1.7228572769    -1.9461751479    -1.9461751479    -0.9769109847    -1.2520153802    -1.7893995645    -0.8860886099    -1.3003115441
    3.3266331658    -1.8971510722    -1.0893139629    -1.6765394580    -1.8971510722    -1.8971510722    -0.9495296341    -1.2133253865    -1.7419607395    -0.8585604339    -1.2621203035
    3.3467336683    -1.8487592387    -1.0518197428    -1.6309873646    -1.8487592387    -1.8487592387    -0.9226498910    -1.1754309912    -1.6952307172    -0.8321101312    -1.2246452897
    3.3668341708    -1.8010233831    -1.0152414468    -1.5861662122    -1.8010233831    -1.8010233831    -0.8962793333    -1.1383330494    -1.6492532494    -0.8062264686    -1.1878936576
    3.3869346734    -1.7539638040    -0.9795605266    -1.5420574085    -1.7539638040    -1.7539638040    -0.8704261170    -1.1023429480    -1.6040189845    -0.7809156491    -1.1518668757
    3.4070351759    -1.7075937933    -0.9447603503    -1.4985456547    -1.7075937933    -1.7075937933    -0.8450767954    -1.0685180719    -1.5594922903    -0.7561839222    -1.1165660275
    3.4271356784    -1.6619467542    -0.9108382678    -1.4553895432    -1.6619467542    -1.6619467542    -0.8202195369    -1.0354114463    -1.5156293867    -0.7320372036    -1.0819798940
    3.4472361809    -1.6170366462    -0.8777929858    -1.4126601420    -1.6170366462    -1.6170366462    -0.7958618675    -1.0030249845    -1.4721882297    -0.7084462120    -1.0481050279
    3.4673366834    -1.5728196786    -0.8455891733    -1.3706872436    -1.5728196785    -1.5728196785    -0.7720114293    -0.9713423118    -1.4290852112    -0.6852841780    -1.0149425956
    3.4874371859    -1.5292831142    -0.8142051183    -1.3296255088    -1.5292831142    -1.5292831142    -0.7486756450    -0.9403571559    -1.3866210707    -0.6626025751    -0.9824839353
    3.5075376884    -1.4866093763    -0.7836439189    -1.2894201687    -1.4866093763    -1.4866093763    -0.7258614512    -0.9100702268    -1.3453171276    -0.6404612255    -0.9517159487
    3.5276381909    -1.4448820449    -0.7539095554    -1.2500312055    -1.4448820449    -1.4448820449    -0.7035082271    -0.8804840842    -1.3053357013    -0.6189065061    -0.9233080592
    3.5477386935    -1.4036331078    -0.7249955217    -1.2114573467    -1.4036331078    -1.4036331078    -0.6815354436    -0.8515793347    -1.2661528949    -0.5979733160    -0.8954947392
    3.5678391960    -1.3631510849    -0.6967511947    -1.1736994358    -1.3631510849    -1.3631510849    -0.6600039512    -0.8233313066    -1.2277550225    -0.5776867876    -0.8682787897
    3.5879396985    -1.3235101405    -0.6691566315    -1.1367576311    -1.3235101405    -1.3235101405    -0.6389650808    -0.7957436065    -1.1901476304    -0.5580637744    -0.8416335142
    3.6080402010    -1.2846572572    -0.6423107985    -1.1006202441    -1.2846572572    -1.2846572572    -0.6184592238    -0.7688205665    -1.1533314285    -0.5391478296    -0.8155542609
    3.6281407035    -1.2465620026    -0.6162875322    -1.0652791657    -1.2465620026    -1.2465620026    -0.5985173340    -0.7425666121    -1.1173026244    -0.5210488562    -0.7900464852
    3.6482412060    -1.2092283216    -0.5911397334    -1.0307330378    -1.2092283216    -1.2092283216    -0.5791622477    -0.7169672518    -1.0820495816    -0.5035960179    -0.7651158517
    3.6683417085    -1.1726571694    -0.5669029418    -0.9969751608    -1.1726571694    -1.1726571694    -0.5604098425    -0.6918704121    -1.0475703140    -0.4866231769    -0.7407678505
    3.6884422111    -1.1368497017    -0.5436362308    -0.9639841750    -1.1368497017    -1.1368497017    -0.5422882104    -0.6673119941    -1.0138649708    -0.4700039020    -0.7169914535
    3.7085427136    -1.1017954679    -0.5214686651    -0.9317556312    -1.1017954679    -1.1017954679    -0.5249184069    -0.6433634291    -0.9809155920    -0.4536443761    -0.6936535626
    3.7286432161    -1.0674883288    -0.5001591713    -0.9002888248    -1.0674883288    -1.0674883288    -0.5081716539    -0.6200794556    -0.9487120192    -0.4374773772    -0.6707826164
    3.7487437186    -1.0339279079    -0.4794321170    -0.8695787848    -1.0339279079    -1.0339279079    -0.4918968662    -0.5975006646    -0.9172530315    -0.4214571875    -0.6484397279
    3.7688442211    -1.0011099707    -0.4590872766    -0.8395862788    -1.0011099707    -1.0011099707    -0.4759773199    -0.5756557000    -0.8865396749    -0.4055553008    -0.6266727440
    3.7889447236    -0.9690148960    -0.4389845743    -0.8103056156    -0.9690148960    -0.9690148960    -0.4603248198    -0.5545631595    -0.8565502395    -0.3897568168    -0.6055181292
    3.8090452261    -0.9376386020    -0.4190314464    -0.7817397670    -0.9376386020    -0.9376386020    -0.4448746985    -0.5343274360    -0.8272576983    -0.3740574258    -0.5850026135
    3.8291457286    -0.9069808346    -0.3991724172    -0.7538922959    -0.9069808346    -0.9069808346    -0.4295815430    -0.5149589717    -0.7986647768    -0.3584608977    -0.5651446312
    3.8492462312    -0.8770412063    -0.3793805373    -0.7267646483    -0.8770412063    -0.8770412063    -0.4144155539    -0.4962232741    -0.7707751417    -0.3429770034    -0.5459661794
    3.8693467337    -0.8477860969    -0.3596503890    -0.7002105345    -0.8477860969    -0.8477860969    -0.3993594545    -0.4779383449    -0.7435926988    -0.3275973032    -0.5276026198
    3.8894472362    -0.8192039876    -0.3399861527    -0.6742114713    -0.8192039876    -0.8192039876    -0.3844058771    -0.4599689477    -0.7170858321    -0.3122720773    -0.5099287975
    3.9095477387    -0.7912978517    -0.3203476715    -0.6488518243    -0.7912978517    -0.7912978516    -0.3695551624    -0.4422178360    -0.6911008818    -0.2970955276    -0.4927701175
    3.9296482412    -0.7640712976    -0.3007530452    -0.6241962474    -0.7640712976    -0.7640712976    -0.3548135159    -0.4246183685    -0.6656974025    -0.2821583827    -0.4759926360
    3.9497487437    -0.7375280230    -0.2813876010    -0.6002927409    -0.7375280230    -0.7375280230    -0.3401914716    -0.4071293403    -0.6409489496    -0.2675324957    -0.4594959662
    3.9698492462    -0.7116032641    -0.2624043920    -0.5771752874    -0.7116032641    -0.7116032641    -0.3256675938    -0.3903910614    -0.6169114393    -0.2532737761    -0.4432072295
    3.9899497487    -0.6861789661    -0.2439196894    -0.5548661217    -0.6861789661    -0.6861789661    -0.3112159423    -0.3744502116    -0.5936258686    -0.2395681082    -0.4270759154
    4.0100502513    -0.6613311519    -0.2260195314    -0.5334969215    -0.6613311519    -0.6613311519    -0.2969247515    -0.3586156382    -0.5711206658    -0.2270025003    -0.4110695257
    4.0301507538    -0.6371262384    -0.2087674082    -0.5130320093    -0.6371262384    -0.6371262384    -0.2828694575    -0.3428975887    -0.5494209048    -0.2154153091    -0.3951698999
    4.0502512563    -0.6136146970    -0.1934293318    -0.4932039223    -0.6136146970    -0.6136146970    -0.2691101489    -0.3272816016    -0.5286887589    -0.2042421971    -0.3793701251
    4.0703517588    -0.5908334806    -0.1803590599    -0.4738101918    -0.5908334806    -0.5908334806    -0.2556938651    -0.3117259742    -0.5087696088    -0.1934877793    -0.3636719518
    4.0904522613    -0.5688081239    -0.1678711396    -0.4547022858    -0.5688081239    -0.5688081239    -0.2426565853    -0.2963324179    -0.4894261340    -0.1831528612    -0.3480836428
    4.1105527638    -0.5475692143    -0.1559610875    -0.4357752672    -0.5475692143    -0.5475692143    -0.2300249480    -0.2811928587    -0.4704801997    -0.1732351109    -0.3326112658
    4.1306532663    -0.5272709694    -0.1446198717    -0.4169591177    -0.5272709694    -0.5272709694    -0.2178177345    -0.2663798892    -0.4518018585    -0.1637296364    -0.3171908251
    4.1507537688    -0.5077383261    -0.1338349345    -0.3982114865    -0.5077383261    -0.5077383261    -0.2060471477    -0.2519497848    -0.4333000864    -0.1546294785    -0.3018923820
    4.1708542714    -0.4887501908    -0.1235910404    -0.3795116549    -0.4887501908    -0.4887501908    -0.1947199112    -0.2379450964    -0.4149150035    -0.1459260322    -0.2868122358
    4.1909547739    -0.4701399907    -0.1138709778    -0.3608555344    -0.4701399907    -0.4701399907    -0.1838382132    -0.2243968755    -0.3966113682    -0.1376094046    -0.2720270719
    4.2110552764    -0.4517856917    -0.1046561357    -0.3422515443    -0.4517856917    -0.4517856917    -0.1734005154    -0.2113265818    -0.3783731581    -0.1296687187    -0.2575969666
    4.2311557789    -0.4336013641    -0.0959269752    -0.3236620554    -0.4336013641    -0.4336013641    -0.1634022441    -0.1987477135    -0.3601990775    -0.1220923701    -0.2435679772
    4.2512562814    -0.4155300791    -0.0876634131    -0.3050683931    -0.4155300791    -0.4155300791    -0.1538363794    -0.1866672011    -0.3420988532    -0.1148682432    -0.2299743713
