# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    3.0854271357    -2.9272571151    -1.8350982407    -2.6330635959    -2.9272571151    -2.9272571151    -1.6010783389    -2.0099261118    -2.7257699429    -1.4890305538    -2.0718046261
    3.1055276382    -2.8604403619    -1.7772158309    -2.5683527068    -2.8604403619    -2.8604403619    -1.5595490568    -1.9544286180    -2.6593149742    -1.4449972431    -2.0177484097
    3.1256281407    -2.7940586748    -1.7205058376    -2.5043150741    -2.7940586748    -2.7940586748    -1.5185617609    -1.8991725344    -2.5934963392    -1.4017664017    -1.9644693495
    3.1457286432    -2.7281771033    -1.6649787970    -2.4409987333    -2.7281771033    -2.7281771033    -1.4781390447    -1.8441867861    -2.5283658836    -1.3593418824    -1.9115295142
    3.1658291457    -2.6628550780    -1.6106353548    -2.3784468449    -2.6628550780    -2.6628550780    -1.4382988527    -1.7901358750    -2.4639704735    -1.3177276560    -1.8586908260
    3.1859296482    -2.5981467140    -1.5574737340    -2.3166980631    -2.5981467140    -2.5981467139    -1.3990591734    -1.7370518294    -2.4003521933    -1.2769243601    -1.8063763174
    3.2060301508    -2.5341011432    -1.5054900753    -2.2557867089    -2.5341011432    -2.5341011432    -1.3604332984    -1.6849248166    -2.3376696479    -1.2369494633    -1.7549718464
    3.2261306533    -2.4707628428    -1.4546794034    -2.1957431511    -2.4707628428    -2.4707628428    -1.3224354175    -1.6337635386    -2.2761081007    -1.1989728095    -1.7044102434
    3.2462311558    -2.4081718878    -1.4050337627    -2.1365940595    -2.4081718878    -2.4081718878    -1.2850740304    -1.5835719195    -2.2154106529    -1.1623228710    -1.6547105206
    3.2663316583    -2.3463642049    -1.3565449747    -2.0783545919    -2.3463642048    -2.3463642048    -1.2483612162    -1.5343513155    -2.1556042794    -1.1264154559    -1.6058795952
    3.2864321608    -2.2853719134    -1.3092026447    -2.0211113439    -2.2853719134    -2.2853719134    -1.2123004586    -1.4866908086    -2.0967060935    -1.0912533249    -1.5579225970
    3.3065326633    -2.2252235018    -1.2629952109    -1.9644070648    -2.2252235018    -2.2252235018    -1.1769012578    -1.4414492402    -2.0387937533    -1.0568374804    -1.5108437966
    3.3266331658    -2.1659440394    -1.2179102793    -1.9079812899    -2.1659440394    -2.1659440393    -1.1421662276    -1.3971073179    -1.9815817872    -1.0231563623    -1.4646440313
    3.3467336683    -2.1075522726    -1.1739348450    -1.8522874450    -2.1075522726    -2.1075522726    -1.1080963510    -1.3536667909    -1.9246558398    -0.9902126572    -1.4193244444
    3.3668341708    -2.0500990594    -1.1310524991    -1.7976893079    -2.0500990594    -2.0500990594    -1.0747001283    -1.3111236475    -1.8682781366    -0.9580084093    -1.3748835680
    3.3869346734    -1.9934505849    -1.0892523189    -1.7441144792    -1.9934505849    -1.9934505849    -1.0419721625    -1.2694779672    -1.8129961058    -0.9265217825    -1.3313196631
    3.4070351759    -1.9379385957    -1.0485113690    -1.6915750533    -1.9379385957    -1.9379385956    -1.0099108985    -1.2287216339    -1.7593230778    -0.8957516374    -1.2907138004
    3.4271356784    -1.8832528019    -1.0088192688    -1.6400713815    -1.8832528019    -1.8832528019    -0.9785237263    -1.1888544690    -1.7069867958    -0.8657043027    -1.2520525146
    3.4472361809    -1.8295424734    -0.9701602212    -1.5896019799    -1.8295424734    -1.8295424734    -0.9478062697    -1.1498649505    -1.6556601705    -0.8363744291    -1.2141561838
    3.4673366834    -1.7768098471    -0.9325044150    -1.5401650025    -1.7768098471    -1.7768098471    -0.9177439948    -1.1117486440    -1.6053443237    -0.8077202282    -1.1770289116
    3.4874371859    -1.7250454119    -0.8958471086    -1.4917557591    -1.7250454119    -1.7250454119    -0.8883419261    -1.0745010424    -1.5560391150    -0.7797474504    -1.1406634998
    3.5075376884    -1.6742554830    -0.8601751032    -1.4443687857    -1.6742554830    -1.6742554830    -0.8596085601    -1.0381042167    -1.5077414251    -0.7524676702    -1.1050613636
    3.5276381909    -1.6244420081    -0.8254432554    -1.3979984569    -1.6244420081    -1.6244420080    -0.8315304918    -1.0025566162    -1.4604489462    -0.7258926313    -1.0702216706
    3.5477386935    -1.5756043731    -0.7916395180    -1.3526354803    -1.5756043731    -1.5756043731    -0.8040769227    -0.9678528651    -1.4141559450    -0.6999552682    -1.0361317866
    3.5678391960    -1.5277410083    -0.7587765383    -1.3082735020    -1.5277410083    -1.5277410083    -0.7772582359    -0.9339654474    -1.3688570770    -0.6744803342    -1.0027931909
    3.5879396985    -1.4808498539    -0.7268029281    -1.2649003906    -1.4808498539    -1.4808498539    -0.7510864007    -0.9008922966    -1.3245449350    -0.6495917474    -0.9702068908
    3.6080402010    -1.4349253556    -0.6955850419    -1.2225080800    -1.4349253556    -1.4349253556    -0.7255733039    -0.8686382775    -1.2812122586    -0.6254013583    -0.9383503024
    3.6281407035    -1.3899644337    -0.6650918597    -1.1810846594    -1.3899644337    -1.3899644337    -0.7006503919    -0.8371744850    -1.2388483389    -0.6019910612    -0.9072211942
    3.6482412060    -1.3459581989    -0.6355120763    -1.1406158950    -1.3459581989    -1.3459581989    -0.6761595817    -0.8064680911    -1.1974475403    -0.5794181872    -0.8768248995
    3.6683417085    -1.3029027873    -0.6069810791    -1.1010967854    -1.3029027873    -1.3029027873    -0.6522168066    -0.7765293179    -1.1569932662    -0.5577200345    -0.8471565709
    3.6884422111    -1.2607863484    -0.5796048861    -1.0625046128    -1.2607863484    -1.2607863484    -0.6289245656    -0.7473698379    -1.1174814599    -0.5370463248    -0.8181735758
