E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
2.66E-06,2.66E-06,6.565380919,0.000868444,6.565380919,0.000868444,6.565380919,0.000868444,Al2NbTi,40,10,10,10,40,20,20,20,1996--Farkas-D--Nb-Ti-Al,L2_1--AlCu2Mn--heusler
4.22E-06,4.22E-06,6.090746252,0.000949585,6.090746252,0.000949585,6.090746252,0.000949585,AgTa2,5,5,5,5,5,5,5,5,2013--Gao-H--AgTaO3,C1--CaF2--fluorite
0.045267207,0.045267207,6.966551186,0.076774521,7.190117007,0.161896958,7.154495701,0.050470532,S2SeZn,10,0,0,10,10,0,0,10,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,L2_1--AlCu2Mn--heusler
5.15E-05,5.15E-05,4.727965713,0.005254184,4.727965713,0.005254184,4.727965713,0.005254184,Xe,20,5,5,5,7,1,1,1,2013--Smirnova-D-E--U-Mo-Xe,Ah--alpha-Po--sc
1.14E-05,1.14E-05,2.489016511,0.00051155,4.311099709,0.000977895,12.19363732,0.001865723,Ni,10,0,0,0,1,0,0,0,1999--Mishin-Y--Ni,A7--alpha-As
8.67E-06,8.67E-06,4.812980421,0.000758377,8.336326624,0.001313548,7.859564115,0.001238425,Mn,10,5,5,5,10,5,5,5,2012--Schopf-D--Al-Mn-Pd,A3--Mg--hcp
3.26E-06,3.26E-06,5.136611891,0.000858644,5.136611891,0.000858644,5.136611891,0.000858644,AgO2,5,5,5,5,5,5,5,5,2013--Gao-H--AgTaO3,C1--CaF2--fluorite
2.26E-05,2.26E-05,3.984056257,0.002121694,3.984056258,0.002121694,2.81714567,0.003000649,CFe,30,0,0,0,20,0,0,0,2008--Hepburn-D-J--Fe-C,L1_0--AuCu
4.57E-06,4.57E-06,7.718447922,0.001553378,7.718447922,0.001553378,7.718447922,0.001553378,MoXe,50,10,10,10,49,10,10,10,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
0.054171237,0.054171237,3.145098987,0.235589924,5.326722804,0.560782526,28.77018906,36.5362956,Mg,10,5,5,5,10,5,5,5,2009--Mendelev-M-I--Al-Mg,A3'--alpha-La--double-hcp
8.58E-06,8.58E-06,6.118284373,0.001301088,6.118284373,0.001301088,6.118284373,0.001301088,Pb,15,5,5,5,15,10,10,10,2003--Hoyt-J-J--Cu-Pb,A15--beta-W
1.77E-05,1.77E-05,8.396458642,0.008636907,8.39634336,0.006506807,8.396545146,0.009367199,Mg,10,0,0,0,10,0,0,0,2009--Mendelev-M-I--Al-Mg,A1--Cu--fcc
2.42E-05,2.42E-05,4.089393182,0.000171232,4.089393182,0.000171232,4.089393182,0.000171232,AlMn,30,10,10,10,30,10,10,10,2012--Schopf-D--Al-Mn-Pd,B2--CsCl
