E_coh_std,E_coh_std_lammps,E_coh_std_refine,a_std,a_std_lammps,a_std_refine,b_std,b_std_lammps,b_std_refine,c_std,c_std_lammps,c_std_refine,composition,potential_id,prototype
0.64332802926,1.99157683084,,0.0389053201573,1.30857414793,,0.0673908432289,2.26651683303,,6.92629535344,1.82211079065,,C,2009--Kim-H-K--Fe-Ti-C,A7--alpha-As
7.00050915107e-06,2.10115999977e-06,2.1217239997e-06,0.00100347014413,1.72742999993e-06,1.75536999958e-06,0.00100347014413,1.72742999993e-06,1.75536999958e-06,0.00100347014413,1.72742999993e-06,1.75536999958e-06,Fe,2003--Mendelev-M-I--Fe-5,A15--beta-W
2.67679713833e-06,0.0140434659196,0.0140435384034,0.000894841782601,0.479859280158,0.479859368603,0.0008948417826,0.479859280158,0.479859368603,0.000894841782601,0.479859280158,0.479859368603,NiZr,2012--Mendelev-M-I--Ni-Zr,B3--ZnS--cubic-zinc-blende
0.00162419117552,0.316765760873,0.316765766192,0.000869374133301,2.03226837561,2.03226835548,0.000871645273295,2.03233277022,2.03233275009,0.000870848840196,2.03225671551,2.03225669538,UXe,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
1.08769730054e-05,0.87358182985,0.877536519555,0.000444446795143,0.57621612053,0.635772849035,0.000828654061696,0.99803574078,1.10119092037,0.00267884585241,4.9977885221,5.2558660349,Zr,2007--Mendelev-M-I--Cu-Zr,A7--alpha-As
0.233818520019,3.71277872626,3.71277871588,0.409076294253,1.73515391629,1.73515401052,0.230630910996,1.98406193675,1.98406203098,0.617883055395,2.0256774645,2.02567755873,C3Fe,2014--Liyanage-L-S-I--Fe-C,A15--Cr3Si
6.70993890581e-06,1.80872e-06,1.8105599997e-06,0.00068337701623,1.35875000007e-06,1.31492e-06,0.000683377016228,1.35875000007e-06,1.31492e-06,0.000683377016229,1.35875000007e-06,1.31492e-06,Al3Ni,2015--Purja-Pun-G-P--Ni-Al-Co,L1_2--AuCu3
0.138622669413,22.3287414821,22.328741405,6.88168788991,11.7117996016,11.7117994178,14.7938055534,10.2185678096,10.2185676267,13.1743769007,11.8045377556,11.8045375718,C3Fe,2009--Kim-H-K--Fe-Ti-C,D0_3--BiF3
0.0109524319817,0.27912605744,0.27912607376,0.125349924012,0.74063713772,0.74063720299,0.0334447426626,0.76592470838,0.76592477365,0.0608211491227,0.70568271723,0.7056827825,Al,2012--Schopf-D--Al-Mn-Pd,A4--C--dc
5.517993708e-06,1.86921018048,1.86921017596,0.00165643271725,2.81972071875,2.81972071102,0.00165643271725,2.81972071875,2.81972071102,0.00165643271726,2.81972071875,2.81972071102,MoU,2013--Smirnova-D-E--U-Mo-Xe,B3--ZnS--cubic-zinc-blende
