potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
2004--Zhou-X-W--Zr--LAMMPS--ipr1,Zr,1762,,,1759.505876,1.958733158,
2004--Zhou-X-W--Zr--LAMMPS--ipr2,Zr,1765,,,1758.396508,1.812264533,
2005--Grochola-G--Au--LAMMPS--ipr1,Au,1154,4.13,1140,1151.660793,1.25316631,
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,Al,937,4.13,900,941.3097393,0.915570643,
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2006--Chamati-H--Fe--LAMMPS--ipr1,Fe,1941,,,NA,NA,
2006--Sun-D-Y--Mg--LAMMPS--ipr1,Mg,NA,,,NA,NA,
2006--Williams-P-L--Ag--LAMMPS--ipr1,Ag,1262,4.21,1250,1260.910021,0.747149822,
2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,Ag,1262,4.21,1250,1262.159385,1.390541665,
2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,Cu,1325,3.7,1300,1321.878654,1.04856297,
2007--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,NA,3.7,1340,1354.929184,0.746814074,
2007--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,1187,,,NA,NA,
2007--Mendelev-M-I--V-Fe--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2007--Mendelev-M-I--Zr-1--LAMMPS--ipr1,Zr,NA,,,NA,NA,
2007--Mendelev-M-I--Zr-2--LAMMPS--ipr1,Zr,1245,,,NA,NA,
2007--Mendelev-M-I--Zr-2--LAMMPS--ipr2,Zr,1272,,,NA,NA,
2007--Mendelev-M-I--Zr-3--LAMMPS--ipr1,Zr,1367,,,NA,NA,
2007--Mendelev-M-I--Zr-3--LAMMPS--ipr2,Zr,1367,,,NA,NA,
2008--Fortini-A--Ru--LAMMPS--ipr1,Ru,1840,,,NA,NA,
2008--Hepburn-D-J--Fe-C--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2008--Mendelev-M-I--Al--LAMMPS--ipr1,Al,"NA, data?",4.13,890,926.4755514,0.571033981,
2008--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,1352,3.7,1340,1354.16122,0.74381754,
2008--Zhou-X-W--Pd-H--LAMMPS--ipr1,H,NA,,,NA,NA,
2008--Zhou-X-W--Pd-H--LAMMPS--ipr1,Pd,1114,3.95,1095,1113.398581,1.362666923,
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Cu,1321,3.7,1290,1324.182287,0.886576683,
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Fe,1765,,,NA,NA,
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Ni,1625,3.63,1540,1624.000699,0.816484707,
2009--Bonny-G--Fe-Ni--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2009--Bonny-G--Fe-Ni--LAMMPS--ipr1,Ni,1621,3.63,1555,1623.388923,1.173174664,
2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,Al,917,4.14,895,925.2311574,0.897869997,
2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,Mg,NA,,,NA,NA,
2009--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,NA,3.69,1335,1352.705483,0.941735324,
2009--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Zr,1194,,,NA,NA,
2009--Olsson-P-A-T--Fe--LAMMPS--ipr1,Fe,1978,,,NA,NA,
2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1,Al,1039,,,1041.334407,0.661840188,9?
2009--Purja-Pun-G-P--Ni-Al--LAMMPS--ipr1,Ni,1694,3.59,1650,1698.651324,1.054528285,
2009--Wu-H-H--Cu-Ag--LAMMPS--ipr1,Ag,1261,4.21,1250,1261.696209,1.042504475,
2009--Wu-H-H--Cu-Ag--LAMMPS--ipr1,Cu,868,3.57,860,876.9674347,0.754247757,
2009--Zhakhovskii-V-V--Al--LAMMPS--ipr2,Al,944,4.12,925,949.9375998,0.91677023,
2009--Zhakhovskii-V-V--Au--LAMMPS--ipr2,Au,1338,4.17,1350,1336.884247,1.50699211,
2010--Malerba-L--Fe--LAMMPS--ipr1,Fe,data,,,NA,NA,
2010--Mendelev-M-I--fictional-Al-1--LAMMPS--ipr1,Al,129,4.12,550,534.7352377,0.351299615,
2010--Mendelev-M-I--fictional-Al-2--LAMMPS--ipr1,Al,936,4.15,910,937.1830429,0.981993698,
2010--Mendelev-M-I--fictional-Al-3--LAMMPS--ipr1,Al,931,4.17,975,938.4376287,1.321120428,
2010--Olsson-P-A-T--Au--LAMMPS--ipr1,Au,1149,4.16,1155,1146.99217,0.779489149,
2010--Winey-J-M--Al--LAMMPS--ipr1,Al,845,4.13,820,844.2669191,0.744409896,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Cr,err,,,NA,NA,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Fe,err,,,NA,NA,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Ni,err,,,NA,NA,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr2,Cr,1959,,,1961.547432,1.372062679,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr2,Fe,1422,,,1421.21576,1.370843382,
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr2,Ni,1526,3.57,1465,1526.074731,0.938199445,
2011--Chiesa-S--Fe-33--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2012--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,1350,3.7,1330,1352.772533,1.258198672,
2012--Mendelev-M-I--Ni--LAMMPS--ipr1,Ni,1728,3.59,1675,1726.864864,1.333878005,
2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1,Ni,1728,3.6,1675,1730.48663,1.305810198,
2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1,Zr,1245,,,NA,NA,
2012--Norman-G-E--Au--LAMMPS--ipr1,Au,1200,4.15,1200,1197.785296,1.447059912,
2012--Proville-L--Fe--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2012--Purja-Pun-G-P--Co--LAMMPS--ipr1,Co,1894,,,1893.840192,1.1946238,
2012--Schopf-D--Al-Mn-Pd--LAMMPS--ipr1,Al,no data,4.29,325,317.8110177,0.314154017,
2012--Smirnova-D-E--U--LAMMPS--ipr1,U,"NA, data?",,,NA,NA,
2013--Agrawal-A--Be--LAMMPS--ipr1,Be,NA,,,1169.014366,0.421637302,
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Cr,1962,,,1963.073041,1.310773393,
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Fe,1989,,,1990.680328,1.958159418,
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Ni,1567,3.66,1495,1567.702108,0.900571879,
2013--Bonny-G--Fe-W--LAMMPS--ipr1,Fe,NA,,,NA,NA,
2013--Bonny-G--Fe-W--LAMMPS--ipr1,W,NA,,,NA,NA,
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Ag,1262,4.21,1250,1262.96405,0.815701264,
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,H,NA,4.21,1250,NA,NA,
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Pd,1114,3.95,1110,1111.12307,1.285689022,
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Ag,1261,,,1262.229017,0.875078226,
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,H,861,,,NA,NA,
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Pd,1115,3.95,1100,1111.12307,1.285689022,
2013--Marinica-M-C--W-2--LAMMPS--ipr1,W,NA,,,NA,NA,
2013--Marinica-M-C--W-3--LAMMPS--ipr1,W,NA,,,NA,NA,
2013--Marinica-M-C--W-4--LAMMPS--ipr1,W,NA,,,NA,NA,
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Cu,1275,3.71,1260,1276.526228,1.16282951,
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Ni,1545,3.61,1470,1546.279646,1.720822295,
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Cu,1266,3.71,1250,1277.39658,1.682507694,
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Ni,1544,3.61,1480,1546.459145,1.012089327,
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,Mo,data,,,NA,NA,
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,U,data,,,NA,NA,
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,Mo,NA,,,NA,NA,
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,U,1223,,,NA,NA,
2014--Bonny-G--W-H-He-1--LAMMPS--ipr1,W,higher T,,,NA,NA,
