potential_LAMMPS_id,composition,a
2012--Smirnova-D-E--U--LAMMPS--ipr1,U,3.5531907650728694
2013--Bonny-G--Fe-Cu-Ni-Mn--LAMMPS--ipr1,Fe,2.8553246189762227
2013--Bonny-G--Fe-Cu-Ni-Mn--LAMMPS--ipr1,Mn,2.6245936400852394
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2.8599988352236223
2013--Bonny-G--Fe-W--LAMMPS--ipr1,Fe,2.855324619017342
2013--Bonny-G--Fe-W--LAMMPS--ipr1,W,3.1651999637855597
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Ag,3.238590034054168
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Ag,3.2385900353897035
2013--Marinica-M-C--W-2--LAMMPS--ipr1,W,3.1399998821882007
2013--Marinica-M-C--W-3--LAMMPS--ipr1,W,3.1873767040973173
2013--Marinica-M-C--W-4--LAMMPS--ipr1,W,3.1433900286299306
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Cu,2.8988838964475456
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Ni,6.394332378029457
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Cu,2.898877203632804
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Ni,1.4908928352848803
2013--Ravelo-R--Ta-1--LAMMPS--ipr1,Ta,3.3039999995588203
2013--Ravelo-R--Ta-2--LAMMPS--ipr1,Ta,3.304000001048513
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,Mo,3.147414514559596
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,U,5.2054312081856295
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,Xe,6.213444040263819
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,Mo,3.1474145145595958
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,U,5.205431208185629
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,Xe,6.213444040263814
2014--Bonny-G--W-H-He-1--LAMMPS--ipr1,H,4.22609402541383
2014--Bonny-G--W-H-He-1--LAMMPS--ipr1,W,3.1399998817906627
2014--Bonny-G--W-H-He-2--LAMMPS--ipr1,H,4.19071003691376
2014--Bonny-G--W-H-He-2--LAMMPS--ipr1,He,4.165584563024983
2014--Bonny-G--W-H-He-2--LAMMPS--ipr1,W,3.1399998817906627
2015--Borovikov-V--fictional-Cu-2--LAMMPS--ipr1,Cu,2.8943316794776894
2015--Borovikov-V--fictional-Cu-3--LAMMPS--ipr1,Cu,2.894140935457678
2015--Borovikov-V--fictional-Cu-4--LAMMPS--ipr1,Cu,2.8939650831016834
2015--Borovikov-V--fictional-Cu-5--LAMMPS--ipr1,Cu,2.8935402768465956
2015--Borovikov-V--fictional-Cu-6--LAMMPS--ipr1,Cu,2.8928645169001865
2015--Borovikov-V--fictional-Cu-7--LAMMPS--ipr1,Cu,2.892513013629724
2015--Mendelev-M-I--Al-Sm--LAMMPS--ipr1,Sm,4.08662672465114
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr1,Co,2.8167496429117445
2015--Purja-Pun-G-P--Ni-Al-Co--LAMMPS--ipr2,Ni,6.00444279271552
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr1,Co,2.8167496429117445
2015--Purja-Pun-G-P--Ni-Co--LAMMPS--ipr2,Ni,6.00444279271552
2015--Wilson-S-R--Na--LAMMPS--ipr1,Na,4.227869260863802
2015--Wilson-S-R--fictional-Na-2--LAMMPS--ipr1,Na,4.229825665357461
2015--Wilson-S-R--fictional-Na-3--LAMMPS--ipr1,Na,4.234234029917315
2016--Beland-L-K--Ni-Co--LAMMPS--ipr1,Co,2.8168833690803012
2016--Borovikov-V--Cu-Zr--LAMMPS--ipr1,Cu,2.8952595263498604
2016--Borovikov-V--fictional-Cu-32--LAMMPS--ipr1,Cu,2.8948539723732005
2016--Borovikov-V--fictional-Cu-33--LAMMPS--ipr1,Cu,2.8933006962918584
2016--Borovikov-V--fictional-Cu-34--LAMMPS--ipr1,Cu,2.8925995812407606
2016--Mendelev-M-I--Ti-1--LAMMPS--ipr1,Ti,6.743213614422011
2016--Nichol-A--Cs--LAMMPS--ipr2,Cs,6.1409999028455005
2016--Nichol-A--K--LAMMPS--ipr1,K,4.411135427456748
2016--Nichol-A--K--LAMMPS--ipr2,K,5.327999730143132
2016--Nichol-A--Li--LAMMPS--ipr2,Li,3.5099995724273243
2016--Nichol-A--Na--LAMMPS--ipr1,Na,4.294912636527282
2016--Nichol-A--Na--LAMMPS--ipr2,Na,4.290599846833129
2016--Nichol-A--Rb--LAMMPS--ipr1,Rb,5.589276048856193
2016--Nichol-A--Rb--LAMMPS--ipr2,Rb,5.585000358720891
2016--Wilson-S-R--Mg--LAMMPS--ipr1,Mg,3.5614206487003397
2016--Zhang-Y--Ni-Nb--LAMMPS--ipr1,Nb,3.3023736761275937
2017--Beland-L-K--Fe-Ni-Cr--LAMMPS--ipr1,Cr,5.894895377574037
2017--Bonny-G--W-Re--LAMMPS--ipr1,Re,3.0477083549165846
2017--Bonny-G--W-Re--LAMMPS--ipr1,W,3.1399998821363013
2017--Mason-D-R--W--LAMMPS--ipr1,W,3.165197610341602
2017--OBrien-C-J--Pt-Au--LAMMPS--ipr1,Pt,3.1138515719878868
2017--Wang-P--TWIP--LAMMPS--ipr1,Fe,2.8690975466057704
2017--Wang-P--TWIP--LAMMPS--ipr2,meta_TWIP,2.8690975466057704
2018--Chen-Y--W-Re--LAMMPS--ipr1,W,3.165200207880737
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Co,6.460436451296768
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cr,9.41499940562278
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,5.7625298272238625
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,6.5237739123108485
2018--Farkas-D--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Ni,6.022433747341279
2018--Mendelev-M-I--Tb--LAMMPS--ipr1,Tb,3.9483071837882107
2018--Setyawan-W--W-Re--LAMMPS--ipr1,Re,3.029130469020307
2018--Setyawan-W--W-Re--LAMMPS--ipr1,W,3.143073609508452
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2.8846026838830934
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2.86674574595156
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Cr,2.8846026838830934
2018--Zhou-X-W--Fe-Ni-Cr--LAMMPS--ipr2,Fe,2.86674574595156
2019--Chen-Y--W-Re--LAMMPS--ipr1,W,3.1652000596564203
2019--Chen-Y--W-Ta--LAMMPS--ipr1,Ta,3.303897508215781
2019--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,2.894747298859936
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2.878154469058016
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2.6473481096620035
2019--Mendelev-M-I--Fe-Ni-Cr--LAMMPS--ipr1,Ni,2.75727466628023
2020--Chen-Y--W-Mo--LAMMPS--ipr1,Mo,3.1469919241043165
2020--Chen-Y--W-Mo--LAMMPS--ipr1,W,3.165199821469059
2020--Chen-Y--W-V--LAMMPS--ipr1,V,3.0299820405829707
2020--Chen-Y--W-V--LAMMPS--ipr1,W,3.165199821469059
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Al,8.343675884932921
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Co,6.4605398499316316
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Fe,6.523859350210916
2020--Farkas-D--Fe-Ni-Cr-Co-Al--LAMMPS--ipr1,Ni,6.022427362073517
2020--Wang-P--meta-Ta-Hf-Zr-Ti--LAMMPS--ipr1,meta_TaHfZrTi,3.402957288394697
2021--Chen-Y--W-Ta-He--LAMMPS--ipr1,Ta,3.3038975194948432
2021--Chen-Y--W-Ta-He--LAMMPS--ipr1,W,3.165199834302774
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Co,6.460539849932444
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Cu,5.7625232533337005
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Fe,6.523859350211495
2021--Deluigi-O-R--Fe-Ni-Cr-Co-Cu--LAMMPS--ipr1,Ni,6.022427362074083
2021--Wen-M--Fe-H--LAMMPS--ipr1,Fe,2.8548759359092397
2021--Wen-M--Fe-H--LAMMPS--ipr1,H,1.9815062897805003
2022--Allera-A--Fe-C--LAMMPS--ipr1,Fe,2.814778672985664
2022--Daramola-A--Fe-Ni-Cr-Mn--LAMMPS--ipr1,Cr,5.894900790121265
2022--Daramola-A--Fe-Ni-Cr-Mn--LAMMPS--ipr1,Mn,2.6245936417215234
2022--Mendelev-M-I--Ni-Al--LAMMPS--ipr1,Ni,2.718217632160238
2022--Mendelev-M-I--Ni-Nb--LAMMPS--ipr1,Nb,3.303306412848329
2022--Sun-Y--Fe--LAMMPS--ipr1,Fe,2.8436425849889666
2022--Zhou-M--Zr--LAMMPS--ipr1,Zr,3.616963763602213
2023--Al-Awad-A-S--Li--LAMMPS--ipr1,Li,3.5017592231620327
2023--Al-Awad-A-S--Pb-Li--LAMMPS--ipr1,Li,3.5017592231620296
2023--Kumar-P--Fe-H--LAMMPS--ipr1,Fe,2.8149669041984957
2023--Kumar-P--Fe-H--LAMMPS--ipr1,H,1.9819928553150845
2023--Liang-A--Fe-Ni-Cr-Co-Ti--LAMMPS--ipr1,Co,6.460521024260593
2023--Liang-A--Fe-Ni-Cr-Co-Ti--LAMMPS--ipr1,Fe,6.423118674467131
2023--Liang-A--Fe-Ni-Cr-Co-Ti--LAMMPS--ipr1,Ni,6.022397841143483
2023--Liang-A--Fe-Ni-Cr-Co-Ti--LAMMPS--ipr1,Ti,3.316805904434577
2023--Mason-D-R--W-H--LAMMPS--ipr1,H,2.65562604620777
2023--Mason-D-R--W-H--LAMMPS--ipr1,W,3.1446126686671385
2024--Mendelev-M-I--Ni-Al-Cr--LAMMPS--ipr1,Cr,2.813224578761032
2024--Mendelev-M-I--Ni-Al-Cr--LAMMPS--ipr1,Ni,2.7182176323415033
2024--Mendelev-M-I--Ni-Al-Nb--LAMMPS--ipr1,Nb,3.259734378444213
2024--Mendelev-M-I--Ni-Al-Nb--LAMMPS--ipr1,Ni,2.7182176315077675
2024--Mendelev-M-I--Ni-Co-Cr--LAMMPS--ipr1,Cr,2.8113524998256914
2024--Mendelev-M-I--Ni-Ti--LAMMPS--ipr1,Ti,3.162955447536293
2024--Sun-Y--Fe-Ni--LAMMPS--ipr1,Fe,2.8436425849837756
2024--Sun-Y--Fe-Ni--LAMMPS--ipr1,Ni,2.753952161405277
