potential_LAMMPS_id,composition,a,Epot (eV/atom)
2010--Malerba-L--Fe--LAMMPS--ipr1,Fe,2.615726986274305,-4.026426707030001
2010--Mendelev-M-I--fictional-Al-1--LAMMPS--ipr1,Al,2.621235035757376,-3.6000865956963004
2010--Mendelev-M-I--fictional-Al-2--LAMMPS--ipr1,Al,2.643323691364917,-3.3586047860046
2010--Mendelev-M-I--fictional-Al-3--LAMMPS--ipr1,Al,2.622564203816297,-3.5976569031293497
2010--Olsson-P-A-T--Au--LAMMPS--ipr1,Au,2.8807302197382767,-3.8017301523062006
2010--Winey-J-M--Al--LAMMPS--ipr1,Al,2.825152910812489,-2.61586810434535
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Cr,2.523340946012386,-3.6549098642003495
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Ni,2.487949099234175,-4.43184317788225
2011--Chiesa-S--Fe-33--LAMMPS--ipr1,Fe,2.5898104629321286,-13.7523035133365
2012--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,2.5683647264511738,-3.4149034144174997
2012--Mendelev-M-I--Ni--LAMMPS--ipr1,Ni,2.485886371608147,-4.353372390163649
2012--Mendelev-M-I--Ni-Zr--LAMMPS--ipr1,Ni,2.485886371850026,-4.3533723901418
2012--Norman-G-E--Au--LAMMPS--ipr1,Au,2.8809159846202768,-4.2882402195147495
2012--Proville-L--Fe--LAMMPS--ipr1,Fe,2.643590449465334,-4.08624371487245
2012--Purja-Pun-G-P--Co--LAMMPS--ipr1,Co,2.51866207159914,-4.39105430247835
2012--Schopf-D--Al-Mn-Pd--LAMMPS--ipr1,Al,3.0298811915723034,-3.7393609733249
2012--Schopf-D--Al-Mn-Pd--LAMMPS--ipr1,Pd,2.80414120858154,-5.1413134181645
2013--Agrawal-A--Be--LAMMPS--ipr1,Be,2.332859498442306,-3.22569287663525
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Ni,2.4847137945856703,-4.426954833093849
2013--Bonny-G--Fe-W--LAMMPS--ipr1,Fe,2.620636496063148,-4.004927029535749
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Ag,2.896372194204764,-2.8461674677989506
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,H,2.303330997740752,-1.7626898985282
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Pd,2.748789321935935,-3.8746393559112
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Ag,2.8963721957343282,-2.84616746778515
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,H,2.303330997740752,-1.7626898985282
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Pd,2.748789321935935,-3.8746393559112
2013--Marinica-M-C--W-3--LAMMPS--ipr1,W,2.7064738032554736,-8.544466258471003
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Cu,1.2769072541849318,-18.541073119612506
2013--Onat-B--Cu-Ni--LAMMPS--ipr1,Ni,2.491419177499939,-4.429280826046099
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Cu,2.5588156708062653,-3.5322352726607495
2013--Onat-B--Cu-Ni--LAMMPS--ipr2,Ni,2.4917235357860195,-4.4298484151277995
2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr1,U,3.454624430138291,-4.03333107964865
