,family,potential_LAMMPS_id,composition,num_melts,T_melt_mean,T_melt_std
39,A1--Cu--fcc,1992--Ackland-G-J--Ti--LAMMPS--ipr2,Ti,10,1313.27196206803,1.2599106632488748
40,A1--Cu--fcc,1995--Ackland-G-J--Zr--LAMMPS--ipr1,Zr,10,1723.5574558529283,1.9189937529900938
41,A1--Cu--fcc,1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,Al,10,313.82901546273956,0.42700144049372485
42,A1--Cu--fcc,1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,Ni,10,1432.4473132048734,1.2432023147217743
43,A1--Cu--fcc,1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Al,10,1354.1850667262602,1.34561655651184
44,A1--Cu--fcc,1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Ti,0,,
45,A1--Cu--fcc,1997--Ackland-G-J--Fe--LAMMPS--ipr1,Fe,10,2245.905958815316,1.71688292918738
46,A1--Cu--fcc,1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Al,10,924.3615098216603,0.7795071020809056
47,A1--Cu--fcc,1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Mg,0,,
48,A1--Cu--fcc,1998--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Al,10,884.6448402520433,0.8242808248744464
49,A1--Cu--fcc,1998--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Mg,0,,
50,A1--Cu--fcc,1998--Meyer-R--Fe--LAMMPS--ipr1,Fe,10,2267.3111647667256,2.888427545016616
51,A1--Cu--fcc,1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,Al,10,924.5888831130657,0.8165557622276247
52,A1--Cu--fcc,1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,Cu,10,1279.2198698319867,1.6555510754831595
53,A1--Cu--fcc,1999--Mishin-Y--Al--LAMMPS--ipr1,Al,10,1040.4081627949313,1.0402699900922328
54,A1--Cu--fcc,1999--Mishin-Y--Ni--LAMMPS--ipr1,Ni,10,2195.1240664858387,1.3639917200586176
55,A1--Cu--fcc,2000--Landa-A--Al-Pb--LAMMPS--ipr1,Al,10,923.130800942911,1.0198048612640715
